fico,aprv_flag,amtfinanced_1req,collateral_dlrinput_newused_1req,pti_1req,ltv_1req,p12_reh7120_a,p12_bcx7110_a,p12_all7170_a,p12_aut7110_a,p12_all7120_a,p12_all7937_a,p12_bcc8120_a,p12_iln7410_a,p12_rev1300_a,p12_all8150_a,p12_bca8370_a,p12_all7517_a,p12_iln8220_a,p12_all6250_a,p12_aua8151_a,p12_rtr7110_a,p12_pil8120_a,p12_aua0300_a,p12_all7938_a,p12_bcc3456_a,p12_all8370_a,p12_aua8220_a,p12_als1300_a,p12_aua6200_a,p12_all2427_a,p12_alm6200_a,p12_all6971_a,clntr9437_a,clact9429_a,clall5010_a,clall2434_a,cloil0214_a,cltra4405_a,clact9428_a,bad_flag,Gender,Race
694,1,35868,USED,15.31,101.39,101,101,0,57,101,100,34,64,7,29,39,9,109,30,,0,12,4,100,1,49,109,14,1,0,30,1,,,,,,,,0,Male,White
673,0,17360,USED,15.78,95.32,30,,0,86,86,50,,100,5,,,40,12,1,,8,,1,50,,26,12,6,1,0,400,1,0,0,,,,,0,0,Female,White
650,1,40000,NEW,13.84,128.89,101,97,0,74,101,89,15,22,12,6,46,13,101,1,,85,34,8,89,1,31,101,20,1,0,30,30,0,0,,,,,0,0,Male,Black
847,1,8599,USED,17.75,114.65,6,1,0,,6,100,44,,7,,95,0,,1,,,,0,100,1,73,,7,,0,1,1,,,,,,,,1,Male,Other
746,1,22749,NEW,9.37,93.91,38,38,0,,108,100,46,100,2,,46,0,69,1,,16,,0,100,0,47,,2,,0,1,1,,,,,,,,0,Undefined,White
662,0,28022,USED,14.63,107.8,40,,0,,105,100,114,9,2,32,62,67,135,400,,,1,2,86,,31,124,19,1,0,400,1,2,2,882,0,,0,0,1,Male,Hispanic
667,0,24876,USED,7.35,106.35,29,18,0,,163,96,11,55,16,41,36,9,149,1,41,2,,6,96,1,57,127,23,400,0,400,1,1,1,,,,,0,0,Female,White
683,1,27495,NEW,10.58,126.33,1,1,9,,100,83,96,20,3,,96,25,89,1,,0,20,2,86,0,38,84,9,400,0,400,1,0,0,,,,,0,0,Female,White
713,1,13107,USED,5.18,104.02,57,18,0,,57,100,18,,3,,30,33,,1,,57,,0,100,0,23,,3,,0,1,1,0,0,,,,,0,0,Female,Black
644,1,20259,USED,7.14,112.39,97,66,0,,97,100,56,20,10,15,149,0,127,1,,47,32,3,86,2,75,127,18,1,0,30,1,,,,,,,,0,Male,White
868,1,26126,NEW,7.36,62.68,18,3,0,,18,100,52,0,10,,147,0,144,1,,,,2,100,6,131,144,13,1,0,1,1,,,,,,,,0,Female,White
571,0,20826,USED,12.46,108.31,33,33,0,89,89,50,3,100,1,,3,100,11,1,,,,1,50,0,7,11,2,1,0,400,400,5,5,,,,,1,0,Male,Other
825,1,27253,NEW,5.52,118.46,29,27,0,11,163,100,20,86,12,,75,5,213,1,,0,8,3,100,2,113,155,17,1,0,1,1,,,,,,,,0,Female,White
711,1,38521,USED,9.13,106.85,12,5,0,99,102,87,20,22,6,,49,29,164,1,,,2,7,89,0,22,92,34,400,0,400,1,1,1,7132,0,,0,0,0,Male,Black
674,1,61032,USED,6.77,103.58,23,17,0,,29,100,48,14,3,14,60,0,85,1,,,18,2,85,0,46,85,10,1,0,120,1,,,,,,,,0,Male,White
714,0,35460,USED,15.86,104.3,2,,0,,2,100,24,,1,,24,0,,1,,,,0,100,1,24,,1,,0,1,1,,,,,,,,0,Male,Hispanic
798,1,41727,NEW,0.59,99.75,70,30,0,73,98,100,5,31,16,,147,16,189,1,,0,20,4,95,4,97,130,23,1,0,1,1,0,0,,,,,0,0,Female,Hispanic
740,1,27198,USED,8.98,63.76,52,4,0,,157,93,44,27,6,,50,0,303,1,,0,,8,93,1,82,113,15,1,0,1,1,0,0,,,,,0,0,Male,White
697,0,28346,USED,18.94,117.5,96,91,0,,184,100,29,63,12,,56,0,139,1,,63,131,3,100,0,57,72,15,1,0,120,1,1,2,,,,,2,0,Female,White
766,0,34825,NEW,3.36,94.08,45,45,0,,100,100,80,,8,,81,25,,1,,0,,0,100,1,85,,11,,0,1,1,,,,,,,,0,Female,White
806,1,31772,USED,9.06,98.44,22,0,0,84,97,100,63,33,5,,65,40,63,1,,22,,3,100,1,29,63,9,1,0,1,1,,,,,,,,0,Male,Hispanic
637,0,22093,USED,7.03,71.67,,,0,,31,100,,,,,22,0,17,1,,,,0,100,,20,,1,,0,1,1,,,,,,,,1,Female,White
654,1,20700,USED,7.48,101.84,93,11,12,79,100,92,3,25,9,18,14,58,160,30,20,38,53,3,80,0,31,110,12,400,0,400,1,2,3,,,,,0,0,Male,White
813,1,44203,NEW,13.63,99.66,20,7,0,55,55,100,7,20,27,,36,22,209,1,,0,23,3,100,5,40,88,33,1,0,1,1,0,0,,,,,0,0,Male,White
837,1,59501,NEW,9.71,134.28,31,0,0,76,76,100,59,50,16,,70,9,76,1,,1,,2,92,0,39,76,18,1,0,1,1,,,,,,,,0,Male,White
639,1,30148,USED,4.67,103.16,,,0,78,78,100,,100,,,,0,21,1,,,,1,100,,21,21,1,1,0,1,1,0,0,,,,,0,0,Female,White
,0,19039,USED,8.18,85.92,,,,,,0,63,0,0,24,8,,62,90,,,62,0,0,,19,,0,,0,400,0,,,,,,,,0,Undefined,White
640,1,17055,USED,7.55,99.07,89,31,0,,89,67,7,,4,9,27,20,45,1,,15,,0,67,0,25,,4,,0,30,400,,,,,,,,0,Male,White
759,1,60429,NEW,1.81,116.36,39,7,0,72,85,100,3,25,2,,14,25,45,1,,,20,6,100,0,15,45,10,1,0,1,1,0,0,,,,,0,0,Male,Asian
605,0,26728,USED,8.2,140.3,0,0,0,91,96,80,12,43,3,5,22,60,76,1,5,,10,5,82,0,20,45,8,30,0,400,30,0,0,,,,,0,0,Male,Asian
730,1,28625,USED,11.34,89.8,21,19,0,,21,75,42,,10,4,63,0,,1,,0,,0,86,1,54,,10,,0,30,30,,,,,,,,0,Male,Black
816,1,28290,NEW,4.13,83.15,18,7,0,,18,100,18,,3,,48,0,,1,,,,0,100,2,48,,3,,0,1,1,,,,,,,,0,Female,Hispanic
821,1,14413,NEW,5.41,49.73,19,19,0,,19,100,47,100,1,,47,0,35,1,,,,1,100,0,41,35,2,1,0,1,1,,,,,,,,0,Male,White
809,1,20550,NEW,1.89,27.1,6,0,0,,96,100,30,33,18,,45,25,143,1,,0,143,2,100,4,48,44,23,1,0,1,1,,,,,,,,0,Male,White
608,1,16732,USED,7.05,109.36,86,62,0,40,86,63,6,22,3,14,18,38,113,400,18,60,5,3,50,0,24,113,12,90,0,400,120,1,1,,,,,0,0,Female,White
560,0,17188,USED,3.55,88.01,,,0,,118,71,,100,,,,0,65,1,,,,0,0,,58,,,,0,120,400,1,1,,,,,0,0,Male,Black
732,1,23401,NEW,7.07,85.52,0,0,,,0,100,6,,1,,6,100,,1,,,,0,100,0,6,,1,,0,1,1,,,,,,,,0,Female,Other
697,1,27998,USED,11.43,115.34,,,0,67,85,100,,11,,,,67,278,1,,,5,8,100,,20,133,28,1,0,1,1,,,,,,,,0,Male,Hispanic
682,1,32787,USED,11.22,111.43,71,25,71,51,71,78,3,8,16,53,45,57,136,60,,71,46,5,78,0,40,136,28,1,0,400,1,0,0,0,,,,0,1,Female,Black
660,1,18275,USED,2.44,96.69,98,93,0,,98,100,3,0,12,42,155,11,164,1,,78,55,0,100,3,141,,15,,0,60,1,0,0,0,,,,0,0,Male,White
683,1,50744,USED,8.48,113.84,81,60,0,94,99,80,48,27,10,6,92,38,171,30,6,34,35,4,83,1,46,52,24,30,1,30,30,,,,,,,,0,Male,White
750,1,36053,USED,12.28,94.89,13,2,0,,13,100,2,,2,,5,100,,1,,,,0,100,0,5,,2,,0,1,1,0,0,,,,,0,1,Male,White
656,0,49137,NEW,20.55,115.29,73,,0,84,84,100,,50,1,14,,50,27,1,14,73,,2,67,,12,27,2,30,0,30,1,0,0,,,,,0,0,Male,Black
662,1,32662,USED,8.2,111.76,99,92,0,47,99,100,0,43,9,,48,40,188,1,,66,24,5,100,1,47,133,21,1,0,1,1,,,,,,,,0,Male,White
634,0,18810,USED,8.98,120,,,0,,107,100,,100,,,,0,34,1,,,,0,100,,29,,,,0,1,1,,,,,,,,0,Undefined,White
834,1,13715,USED,6.23,146.68,22,7,0,77,95,93,4,15,22,,46,11,187,1,,,49,6,95,4,61,183,34,1,0,1,1,,,,,,,,0,Male,Hispanic
643,1,46574,NEW,10.48,94.91,,,0,,75,100,,10,0,17,,50,126,120,,,7,0,67,,14,126,18,1,0,120,1,0,0,1045,,,0,0,0,Male,Hispanic
697,0,52463,NEW,5.01,95.5,0,,,,0,100,62,,1,,62,0,,1,,,,0,100,0,62,,1,,0,1,1,,,,,,,,0,Male,White
670,1,21043,USED,7.19,107.39,,,0,,25,50,43,20,0,,82,0,203,400,,,49,2,50,0,71,120,3,1,0,400,1,0,0,,,,,0,0,Female,Black
704,1,23844,NEW,7.48,104.1,22,0,0,98,98,87,9,8,14,29,10,40,126,1,,11,42,4,90,0,33,72,29,1,0,30,1,0,0,,,,,0,0,Male,Hispanic
669,1,23680,USED,11.32,107.12,,,0,,94,100,102,100,1,,40,100,32,1,,,6,0,100,,18,,2,,0,1,1,1,1,,,,,0,0,Male,White
623,0,24186,NEW,13.12,105.91,,,0,,100,100,,100,,,,0,21,1,,,,0,100,,21,,,,0,1,1,,,,,,,,0,Female,White
654,0,11384,USED,3.56,51.16,,,0,97,97,75,163,25,4,29,67,50,126,1,29,,,4,75,,75,126,7,60,0,60,1,,,,,,,,0,Female,White
830,1,29478,USED,4.62,107.89,73,13,0,,89,100,168,17,11,,179,0,211,1,,18,,3,100,3,97,94,15,1,0,1,1,,,,,,,,0,Male,Hispanic
627,1,50560,NEW,11.3,125.08,,,0,,151,100,,89,0,,,0,157,400,,,,1,100,,77,157,1,1,0,400,1,,,,,,,,1,Male,Hispanic
718,1,27626,USED,5.58,95.27,85,54,0,,97,100,2,0,8,,49,33,15,1,,0,,1,100,2,37,15,10,1,0,1,1,0,0,,,,,0,0,Male,White
672,1,31653,NEW,5.43,119.8,96,96,0,27,96,100,42,100,19,14,73,22,72,90,14,66,,2,93,0,58,72,21,30,0,90,1,,,,,,,,0,Male,Hispanic
690,1,16405,USED,9.6,129.94,4,,0,,4,67,101,,6,,108,50,,1,,3,,0,75,,68,,6,,0,400,1,,,,,,,,0,Female,White
619,1,22568,USED,7.09,109.82,44,,20,87,92,62,51,23,6,,94,17,190,1,,42,57,10,67,0,62,127,19,1,0,400,400,,,,,,,,0,Male,Black
681,1,25271,USED,2.61,106.28,118,100,0,,118,92,45,25,18,4,105,17,99,400,,13,,4,85,4,54,99,23,1,0,400,30,,,,,,,,0,Undefined,White
705,1,35568,NEW,12.62,116.44,91,,0,53,97,54,,20,9,56,,25,187,1,,48,1,3,57,,32,84,26,1,0,120,400,,,,,,,,0,Undefined,Hispanic
820,1,13953,USED,5.73,82.09,78,6,0,,83,100,71,,39,,155,5,,1,,15,,0,100,6,157,,40,,0,1,1,,,,,,,,0,Male,Hispanic
659,0,48127,USED,23.74,116.4,84,84,0,87,87,60,18,13,4,45,68,50,126,1,,,62,1,60,0,32,11,12,1,0,400,400,0,0,,,,,0,0,Male,Hispanic
636,0,20285,USED,15.27,109.24,22,17,0,80,80,36,2,50,3,46,5,100,59,1,46,,,2,36,0,15,59,4,30,0,400,400,0,0,,,,,0,0,Male,White
588,0,13974,USED,6.9,93.01,94,86,80,,94,50,18,25,3,,22,60,80,1,,8,5,1,50,0,21,69,7,1,0,400,400,,,,,,,,1,Female,Hispanic
755,0,13852,USED,7.96,121.78,48,47,0,90,90,100,7,100,7,,20,40,5,1,,0,,1,100,1,18,5,8,1,0,1,1,,,,,,,,0,Male,Asian
732,1,32569,USED,14.86,123.18,78,56,0,78,86,91,50,50,17,,41,22,114,1,,0,5,2,92,1,37,63,21,1,0,400,120,,,,,,,,0,Male,White
537,0,21074,USED,6.03,108.07,,,0,6,6,0,,50,1,2,,0,89,1,2,,,2,0,,37,89,2,30,0,400,30,,,,,,,,0,Female,Hispanic
677,1,21648,NEW,4.96,61.96,3,0,0,,3,89,17,0,6,15,34,20,171,120,,0,38,7,80,0,36,105,20,1,0,400,1,1,1,0,,,,0,0,Female,Black
622,1,9204,USED,5.08,104.29,34,22,0,66,66,53,3,14,4,17,66,29,152,1,20,,42,3,44,0,59,100,6,400,0,400,400,1,2,8354,0,,0,0,0,Male,Hispanic
707,1,19039,USED,3.14,88.27,,,0,,100,100,,,1,,,0,,1,,,,0,100,,32,,3,,0,1,1,,,,,,,,0,Female,Hispanic
460,0,15646,USED,5.74,99.18,,,100,,,0,15,,0,77,9,,,400,,,,0,0,0,24,,0,,0,400,400,5,9,,,,,2,0,Female,White
605,0,28763,USED,10.47,107.12,102,95,0,,102,100,0,20,14,,28,19,89,1,,79,27,2,95,1,26,60,18,1,0,400,1,2,4,,,,,0,0,Male,White
689,1,36817,NEW,2.74,114.68,93,48,0,76,95,100,6,50,29,,41,17,49,1,,10,,2,100,4,42,49,32,1,0,60,1,1,1,,,,,0,0,Female,Black
614,0,32372,NEW,12.04,115.35,66,66,0,99,107,83,4,40,3,,4,67,93,1,,,,4,86,0,21,74,6,400,0,400,1,0,0,,,,,0,0,Male,White
704,1,21385,USED,7.42,76.4,2,1,0,48,134,100,8,75,3,,21,29,136,400,,,130,1,86,0,50,42,5,1,0,400,1,1,2,,,,,2,0,Female,White
683,1,20739,USED,4.04,108.11,87,87,0,,87,67,25,20,1,,24,0,250,1,,,250,3,40,0,114,155,4,1,0,400,1,,,,,,,,0,Undefined,White
715,0,46511,USED,19.27,102.09,55,55,0,83,83,100,7,100,2,,7,67,18,1,,0,,1,100,0,8,18,3,1,0,1,1,1,2,,,,,0,0,Female,White
623,1,5678,USED,5.05,87.94,64,60,0,,100,83,15,100,3,22,24,0,13,30,,22,,0,71,0,14,,3,,0,400,1,0,0,,,,,0,0,Female,Hispanic
649,1,25534,USED,8.22,113.48,100,75,0,66,100,100,8,40,10,,71,33,163,1,,45,41,4,100,2,47,163,15,1,0,1,1,,,,,,,,0,Male,Hispanic
718,1,20087,USED,8.49,96.19,2,2,0,,125,83,43,25,3,,56,20,129,1,,0,96,2,75,0,44,106,6,1,0,400,1,,,,,,,,0,Male,White
582,0,29390,USED,10.78,94.84,113,57,0,,113,60,6,,5,,8,100,,400,,0,,0,60,0,7,,5,,0,400,400,3,3,,,,,1,0,Male,White
703,1,15928,USED,11.39,93.7,38,12,20,,38,67,3,,2,1,5,100,,30,,16,,0,67,0,5,,2,,1,30,30,,,,,,,,0,Undefined,White
789,1,12785,USED,3.56,75.91,23,8,0,,23,100,25,0,7,,46,14,108,1,,0,17,3,100,3,32,76,12,1,0,1,1,0,0,,,,,0,0,Female,Asian
818,1,31091,USED,6.17,107.05,8,2,0,,98,100,31,82,15,,33,6,153,1,,5,,3,100,3,58,99,20,1,0,1,1,0,0,,,,,0,0,Female,White
622,1,27621,USED,12.54,114.52,,,69,5,5,33,70,100,2,,41,0,68,400,,,,1,33,0,56,68,3,1,0,400,1,,,,,,,,0,Male,Hispanic
662,0,24769,NEW,4.06,102.01,88,81,0,,88,77,2,0,13,9,104,27,125,30,27,11,,4,73,1,109,125,14,400,0,400,30,0,0,,,,,0,0,Female,Hispanic
799,1,22427,NEW,8.47,94.86,0,0,0,,0,100,10,0,24,65,66,11,144,1,,0,138,1,100,6,65,144,26,1,0,90,1,,,,,,,,0,Male,Hispanic
831,1,13907,USED,6.06,60.73,11,8,0,,11,100,7,0,5,,18,50,72,1,,0,,1,100,0,27,72,6,1,0,1,1,,,,,,,,0,Male,Other
694,0,17599,USED,7.4,112.27,95,95,0,,95,100,24,50,3,,24,0,55,1,,22,19,1,100,0,24,38,7,1,0,1,1,0,0,,,,,0,0,Male,Hispanic
792,1,11383,USED,4.5,56.92,41,8,0,,41,100,4,0,4,,34,25,69,1,,,20,2,100,3,28,69,7,1,0,1,1,0,0,,,,,0,0,Male,White
644,1,25318,NEW,16.46,112.71,93,93,0,,93,43,72,0,2,58,72,0,130,1,,22,,3,43,0,60,130,5,1,0,30,1,,,,,,,,0,Female,White
637,1,21260,USED,10.79,118.11,95,93,0,80,159,100,24,60,7,,29,20,129,1,,73,,3,82,0,37,35,10,1,0,120,1,1,1,,,,,0,0,Male,White
672,1,22022,USED,9.79,112.93,,,0,78,78,100,,100,,,,0,20,1,,,,1,100,,20,20,1,1,0,1,1,0,0,,,,,0,0,Female,White
546,0,20568,USED,6.4,108.28,95,93,70,,95,67,10,33,2,15,13,67,83,1,15,,10,2,50,0,36,83,3,400,0,400,1,1,1,,,,,0,1,Male,White
586,1,26668,USED,5.69,70.64,61,0,6,88,138,83,5,88,2,22,28,10,217,90,,,,2,69,0,113,81,4,1,0,400,1,0,0,,,,,0,0,Male,White
605,1,24409,USED,10.12,104.98,,,5,74,77,36,85,33,2,3,32,0,122,60,59,,93,3,46,0,50,88,9,30,0,400,30,,,,,,,,0,Male,White
635,1,26768,USED,12.2,112.08,185,169,0,67,185,100,2,100,19,,43,46,36,1,,9,,1,100,1,28,21,20,1,0,1,1,,,,,,,,1,Female,White
668,1,26968,USED,9.59,115,96,95,0,,100,100,21,25,7,56,23,25,110,90,,60,5,2,100,3,20,110,13,1,0,90,1,,,,,,,,0,Male,Black
682,1,37943,USED,8.48,129.78,102,59,0,,102,100,20,37,20,51,77,25,195,1,,20,3,3,100,5,74,76,28,1,0,30,1,1,1,,,,,1,0,Male,White
789,1,64770,USED,7.89,110.91,65,0,0,,65,100,16,0,5,,122,25,71,1,,65,,4,100,3,54,71,9,1,0,1,1,,,,,,,,0,Male,White
866,1,18004,NEW,11.77,48.2,1,38,0,,70,100,36,0,13,,76,0,155,1,,0,80,1,100,3,109,63,17,1,0,1,1,,,,,,,,0,Female,White
736,1,30651,USED,12.35,114.48,64,64,0,,64,100,3,0,2,,3,100,39,1,,0,,1,100,0,9,39,3,1,0,1,1,0,0,,,,,0,0,Male,White
837,1,28613,USED,15.91,86.06,10,10,0,52,52,100,36,33,14,,46,20,119,1,,0,,3,100,1,43,119,17,1,0,1,1,,,,,,,,0,Male,Hispanic
609,1,39074,USED,8.26,86.53,94,89,16,,152,88,10,50,6,,18,14,123,1,,24,,1,78,1,42,88,6,400,0,400,1,5,5,0,,,,3,0,Male,White
707,1,14443,USED,4.96,108.63,0,0,0,,18,82,3,0,22,14,99,33,88,1,65,0,,3,59,1,69,88,26,30,0,90,400,,,,,,,,0,Male,White
701,1,36807,USED,8.47,68.04,73,49,97,,73,71,20,0,6,,39,40,189,1,,0,136,1,67,0,48,55,10,1,0,400,1,0,0,,,,,0,0,Male,Other
693,1,24071,NEW,9.43,75.34,47,26,0,,47,83,4,20,2,,26,33,193,1,,,16,1,83,0,28,193,7,1,0,400,1,0,0,,,,,0,0,Female,White
598,1,30367,USED,12.19,108.46,84,82,0,77,84,67,15,50,3,44,18,0,93,1,40,,,2,67,0,30,93,4,400,0,400,1,1,1,,,,,0,0,Female,Hispanic
665,1,40099,USED,14.85,113.76,96,77,0,58,102,100,21,78,5,,39,17,42,1,,0,1,2,100,0,27,42,12,1,0,1,1,1,1,,,,,0,0,Male,Hispanic
592,0,25852,NEW,5.47,96.92,97,97,87,,97,80,2,0,3,17,107,50,205,30,,0,3,0,60,0,75,,7,,0,400,1,0,0,,,,,0,0,Male,White
695,1,23346,USED,7.51,120.19,95,56,0,41,95,100,87,50,6,,116,13,178,1,,51,4,1,100,3,68,75,10,1,0,1,1,,,,,,,,0,Male,White
719,1,18116,USED,7.93,134.69,,,0,,68,100,,,,,,0,,1,,,,0,100,,254,,2,,0,1,1,0,0,,,,,0,0,Male,White
,0,23353,USED,11.28,115.61,,,,,,0,,0,,,,,104,120,,,93,0,0,,32,,2,,0,400,400,1,1,991,,,0,0,0,Male,Asian
559,0,37062,USED,7.58,105.93,55,47,2,67,126,86,3,57,5,10,29,13,93,400,,,8,4,67,0,31,84,15,400,0,400,400,6,7,1626,,,,1,0,Male,White
807,1,33817,USED,8.87,117.1,22,22,0,61,61,100,13,100,2,,25,0,34,1,,,,1,100,0,28,34,3,1,0,1,1,0,0,,,,,0,0,Male,White
658,1,21024,USED,11.32,129.58,81,70,0,84,113,100,1,100,3,20,25,7,58,1,,,,1,93,0,33,13,4,1,0,30,1,,,,,,,,1,Male,Other
848,1,40556,USED,7.22,101.9,2,1,0,85,85,100,37,33,19,,129,0,175,1,,0,,6,100,3,98,175,25,1,0,1,1,,,,,,,,0,Male,Other
623,1,30879,USED,8.72,114.73,88,41,0,76,88,100,3,25,5,,11,67,43,1,,53,19,1,100,0,11,22,9,1,0,1,1,2,2,0,,,,0,1,Female,White
697,1,57806,NEW,15.3,118.14,76,61,0,,76,75,7,60,6,38,71,33,93,1,38,1,18,2,77,0,43,93,10,30,0,120,400,1,7,982,0,,0,0,0,Male,Black
685,0,67712,NEW,19.69,146.71,99,56,0,75,99,100,11,20,9,77,88,8,133,1,77,99,14,10,100,0,57,133,24,30,0,30,1,0,0,,,,,0,0,Female,White
670,1,39394,USED,11,105.08,6,1,0,,6,83,47,0,2,17,57,0,155,30,23,,66,5,29,0,37,155,6,60,0,400,1,,,,,,,,0,Undefined,White
847,1,37663,NEW,6.89,95.66,12,12,0,,98,100,156,20,7,,192,0,165,1,,,53,1,100,1,68,46,12,1,0,1,1,,,,,,,,0,Male,Black
788,1,36943,NEW,4.16,71.17,38,,0,74,97,100,36,29,6,,71,17,114,1,,,,7,100,2,42,114,17,1,0,1,1,,,,,,,,0,Male,Hispanic
841,1,30254,NEW,5.65,95.6,10,7,0,47,72,100,2,67,8,,24,40,83,1,,0,30,4,100,2,27,83,14,1,0,1,1,0,0,,,,,0,0,Female,Hispanic
598,0,30483,USED,4.15,116.01,95,91,22,,95,75,5,0,3,,22,67,47,1,,,24,0,80,1,18,,4,,0,400,1,4,6,,,,,4,1,Female,Hispanic
676,1,13771,USED,4.2,62.66,11,7,0,,112,92,8,67,2,7,13,20,57,90,,,9,0,92,0,26,,6,,1,90,90,,,,,,,,0,Male,White
820,1,28312,USED,3.44,44.24,1,1,0,,99,100,154,0,6,,59,20,80,1,,0,,1,100,1,36,80,8,1,0,1,1,,,,,,,,0,Male,White
703,0,82936,NEW,8.99,106.33,,,0,84,84,17,26,8,11,,43,0,136,400,,,20,8,33,,28,130,34,400,0,400,1,0,0,,,,,0,0,Male,Hispanic
826,1,32007,USED,5.89,76.39,0,0,,,0,100,49,0,12,,149,0,143,1,,0,,3,100,3,118,143,15,1,0,1,1,,,,,,,,0,Female,White
701,1,35601,USED,10.21,105.88,97,72,0,58,97,89,36,43,7,11,80,14,153,1,,17,34,6,89,1,67,153,15,1,0,60,30,0,0,,,,,0,0,Female,White
777,1,11011,USED,5.21,47.32,3,2,0,,113,100,24,100,2,,36,0,58,1,,,,0,100,0,39,,2,,0,1,1,,,,,,,,0,Undefined,White
586,0,12578,USED,6.26,116.19,,,0,,111,33,,6,0,,,0,350,400,,,350,0,33,,77,,0,,0,400,400,,,,,,,,0,Male,White
635,1,30771,USED,13.44,106.11,104,64,0,,104,90,2,6,11,17,11,29,159,30,48,89,18,4,83,0,17,159,26,400,0,400,1,0,0,,,,,0,0,Undefined,Hispanic
660,0,82362,NEW,5.21,116.02,78,37,0,98,98,100,5,3,20,18,33,13,173,30,18,7,6,18,96,2,28,121,50,30,0,120,1,1,1,,,,,0,0,Male,Hispanic
719,0,44752,NEW,10.19,107.86,97,83,0,,97,100,21,0,5,,73,14,98,1,,0,,1,100,2,65,98,11,1,0,400,1,,,,,,,,0,Male,Hispanic
569,0,9643,USED,3.66,124.83,72,,0,75,152,75,,88,1,14,,13,107,1,14,72,15,1,67,,57,28,2,30,0,120,400,,,,,,,,0,Male,Hispanic
529,0,18477,USED,5.4,101.6,,,100,,,0,154,0,3,55,64,,107,1,55,,,2,0,,53,107,3,400,0,400,400,,,,,,,,0,Male,Asian
773,1,35000,NEW,8.38,79.93,34,12,0,54,182,100,181,60,10,23,190,15,230,30,44,8,,3,81,1,78,122,14,30,0,120,1,0,0,,,,,0,0,Female,Black
698,1,40018,USED,17.78,115.07,85,42,0,65,85,100,3,33,6,,16,43,32,1,,0,12,1,100,0,20,32,9,1,0,120,1,3,6,0,,,,3,0,Male,Black
688,1,20571,USED,10.66,95.96,43,,0,,97,80,45,100,2,,23,25,127,1,,,,0,80,1,75,,2,,0,400,1,,,,,,,,0,Male,Other
685,1,27452,USED,15.95,108.51,0,,0,49,49,100,313,100,7,23,300,0,70,1,23,,,1,50,1,120,70,8,30,0,30,1,,,,,,,,0,Male,Black
601,0,21924,NEW,16.88,93.39,102,102,9,,102,57,16,13,2,,19,33,103,90,,,4,1,56,0,11,39,10,1,0,400,1,9,21,,,,,4,1,Female,Other
579,0,46023,NEW,10.98,112.93,,,60,51,51,7,72,100,1,,92,0,46,400,,,,1,6,0,105,46,2,1,0,400,400,,,,,,,,0,Female,Hispanic
596,0,19647,USED,16.8,114.56,,,0,,99,25,82,50,1,38,37,100,51,30,,,2,1,25,,13,51,3,1,0,30,400,0,0,,,,,0,0,Female,Other
805,0,25270,USED,3.61,117.26,73,14,0,,98,100,23,14,12,,206,25,113,1,,8,18,6,100,7,102,113,22,1,0,1,1,0,0,,,,,0,0,Male,White
695,1,27780,USED,6.87,103.13,0,,0,,6,100,,33,1,,,0,71,1,,0,39,1,100,,50,48,4,1,0,1,1,0,0,,,,,0,0,Male,White
797,1,50279,NEW,5.53,90.08,30,30,0,54,100,100,65,54,2,,65,0,129,1,,0,16,5,100,1,56,69,10,1,0,1,1,,,,,,,,0,Female,White
752,1,15543,USED,7.34,113.25,88,64,2,,88,90,24,33,9,4,117,0,170,1,,0,15,3,92,3,84,170,15,1,0,120,120,,,,,,,,0,Female,White
,0,22226,USED,6.51,55.57,,,,,,,,0,,,,,283,1,,,283,1,,,168,111,0,400,0,400,,,,,,,,,0,Female,White
609,0,37538,USED,4.3,73.61,90,47,0,96,100,91,3,50,26,4,11,60,77,1,,34,1,1,91,2,16,77,31,400,0,400,400,14,36,,,,,20,0,Female,Hispanic
585,0,41419,USED,16.45,112.55,100,22,0,62,101,43,47,14,2,7,111,0,222,1,7,,82,4,43,0,75,158,6,400,0,400,400,0,0,0,,,,0,0,Male,Hispanic
795,1,32142,USED,7.21,107.11,10,4,0,,99,100,21,27,10,74,30,22,127,1,,0,4,8,100,3,34,127,28,1,0,60,1,,,,,,,,0,Male,White
587,0,16229,NEW,4.96,59.91,71,54,2,,94,58,102,67,4,14,157,0,83,90,40,42,15,1,50,0,112,83,5,60,0,400,90,,,,,,,,0,Undefined,White
678,1,17790,USED,3.48,104.74,59,,0,,114,100,118,50,7,20,32,20,180,90,,53,7,0,92,,73,,13,,0,400,1,,,,,,,,0,Female,White
660,1,32132,NEW,11.3,102.49,80,66,0,36,80,86,17,33,5,,22,0,128,1,,,36,3,86,0,24,128,7,400,0,400,1,2,4,,,,,0,0,Female,Hispanic
739,1,12155,USED,7.2,115.76,47,30,15,,47,88,18,0,12,2,13,25,226,30,,4,141,0,89,0,21,,14,,0,400,30,0,1,,,,,0,0,Male,Black
532,0,17586,NEW,6.47,95.53,,,96,,,0,32,0,2,,38,,93,400,,,32,2,38,0,32,93,6,1,0,400,0,0,0,,,,,0,0,Female,Hispanic
831,1,12477,USED,3.03,73.39,50,13,0,36,50,100,8,20,7,,80,25,185,1,,0,41,3,100,1,70,118,13,1,0,1,1,,,,,,,,0,Female,White
591,0,10330,USED,5.33,74.58,,,100,,,0,,0,1,37,,,42,400,,,42,0,0,,91,,2,,0,400,400,0,0,,,,,0,0,Undefined,Hispanic
